Title,Popularity,Type,Mid,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,Average Search Popularity
Clash Royale,3665,Mobile game,/g/11cjj5lkf_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vainglory,3371,Video game,/m/011sr6pm,0.01,0,0.013333333,0.016949153,0.017857143,0.020833333,0.022222222,0.023255814,0.023809524,0.025,0.025641026,0.027027027,0.027777778,0.025,0.021276596,0.022222222,0,0.018518519,0.018929094
Dead by Daylight,3232,,,0,0,0,0,0.017857143,0.0625,0.088888889,0.093023256,0.095238095,0.075,0.076923077,0.081081081,0.083333333,0.05,0.021276596,0.066666667,0.06,0.037037037,0.050490287
Super Mario Maker,2986,Video game,/m/010xc8lh,0.05,0.048780488,0.053333333,0.06779661,0.071428571,0.0625,0.088888889,0.093023256,0.095238095,0.1,0.102564103,0.108108108,0.111111111,0.1,0.063829787,0.066666667,0.06,0.074074074,0.078741283
Mario Kart 8,2908,Video game,/m/0119mf7q,0.04,0.036585366,0.04,0.050847458,0.071428571,0.0625,0.066666667,0.069767442,0.095238095,0.1,0.102564103,0.108108108,0.111111111,0.1,0.085106383,0.088888889,0.06,0.074074074,0.075715904
NBA 2K16,3090,Video game,/m/013ccj8n,0.05,0.048780488,0.066666667,0.084745763,0.125,0.208333333,0.2,0.209302326,0.214285714,0.225,0.153846154,0.135135135,0.138888889,0.1,0.085106383,0.088888889,0.08,0.055555556,0.126085294
Rust,2884,,,0.04,0.036585366,0.053333333,0.050847458,0.071428571,0.0625,0.066666667,0.069767442,0.095238095,0.125,0.128205128,0.108108108,0.111111111,0.1,0.085106383,0.111111111,0.08,0.055555556,0.080586907
RuneScape,2809,Online game,/m/01l8t_,0.35,0.402439024,0.466666667,0.610169492,0.678571429,0.8125,0.822222222,0.837209302,0.928571429,0.925,0.794871795,0.756756757,0.805555556,0.675,0.574468085,0.6,0.54,0.5,0.671111209
Subnautica,2700,Video game,/g/11c3jbpyz1,0.01,0.024390244,0.026666667,0.033898305,0.035714286,0.020833333,0.022222222,0.046511628,0.047619048,0.05,0.051282051,0.027027027,0.027777778,0.025,0.021276596,0.022222222,0.02,0.018518519,0.029497774
Heroes of the Storm,2622,Online game,/m/0kz2x1z,0.1,0.109756098,0.12,0.118644068,0.125,0.166666667,0.222222222,0.209302326,0.19047619,0.2,0.205128205,0.162162162,0.194444444,0.15,0.127659574,0.177777778,0.14,0.111111111,0.157241714
World of Tanks,2411,Online game,/m/0c03cdz,0.07,0.085365854,0.093333333,0.169491525,0.160714286,0.1875,0.177777778,0.162790698,0.166666667,0.15,0.153846154,0.162162162,0.25,0.2,0.170212766,0.177777778,0.14,0.12962963,0.155959368
Tabletop Simulator,2406,Video game,/g/11b7_rb9kn,0.01,0.012195122,0.013333333,0.016949153,0.017857143,0.020833333,0.022222222,0.023255814,0.023809524,0.025,0.025641026,0.027027027,0.027777778,0.025,0.021276596,0.022222222,0.02,0.018518519,0.020717712
Dark Souls,2393,Video game,/m/0dgs3gt,0.43,0.43902439,0.453333333,0.457627119,0.410714286,0.4375,0.466666667,0.441860465,0.476190476,0.5,0.41025641,0.405405405,0.388888889,0.35,0.276595745,0.288888889,0.28,0.222222222,0.396398572
Smite,2481,Video game,/m/0ktmkks,0.15,0.170731707,0.186666667,0.237288136,0.25,0.270833333,0.288888889,0.325581395,0.357142857,0.325,0.282051282,0.297297297,0.305555556,0.275,0.255319149,0.266666667,0.28,0.203703704,0.26265148
StarCraft II,2167,Video game,/m/02qty_5,0.07,0.109756098,0.12,0.13559322,0.142857143,0.145833333,0.177777778,0.186046512,0.166666667,0.175,0.205128205,0.189189189,0.222222222,0.225,0.14893617,0.2,0.16,0.148148148,0.16267526
Madden NFL 17,2179,Video game series,/m/0205x8,0.09,0.158536585,0.12,0.118644068,0.125,0.125,0.177777778,0.139534884,0.142857143,0.175,0.153846154,0.243243243,0.25,0.325,0.29787234,0.622222222,0.76,0.351851852,0.243132571
Super Smash Bros. Melee,2045,Video game,/m/0136wj,0.04,0.048780488,0.053333333,0.06779661,0.071428571,0.083333333,0.088888889,0.093023256,0.095238095,0.1,0.102564103,0.162162162,0.111111111,0.1,0.063829787,0.088888889,0.06,0.074074074,0.083580706
Rocket League,1942,Video game,/m/013bd3tm,0.04,0.036585366,0.04,0.06779661,0.071428571,0.083333333,0.088888889,0.093023256,0.095238095,0.1,0.076923077,0.081081081,0.083333333,0.075,0.063829787,0.066666667,0.06,0.055555556,0.071037979
Arma 3,1864,Video game,/m/0gty121,0.04,0.06097561,0.08,0.06779661,0.089285714,0.104166667,0.111111111,0.139534884,0.166666667,0.125,0.179487179,0.135135135,0.138888889,0.125,0.106382979,0.111111111,0.08,0.074074074,0.107478702
Grand Theft Auto V,1756,Video game,/m/0hgnzjh,1.804878049,2.088235294,2.451612903,3.333333333,3.826086957,5,4.842105263,5.055555556,5.705882353,6.1875,6.125,6.266666667,6.066666667,5.75,4.473684211,4.777777778,3.952380952,3.545454545,4.514045585
Pokémon Omega Ruby/Alpha Sapphire,1711,Video game,/m/010hn339,0.17,0.231707317,0.28,0.338983051,0.375,0.458333333,0.466666667,0.488372093,0.523809524,0.6,0.769230769,1.027027027,1.111111111,1.075,0.829787234,0.844444444,0.66,0.537037037,0.599250534
Dark Souls III,1677,Video game,/m/013f7bmb,1.369863014,1.216666667,1.090909091,1.093023256,0.951219512,0.888888889,0.818181818,0.75,0.774193548,0.827586207,0.714285714,0.642857143,0.62962963,0.551724138,0.441176471,0.424242424,0.513513514,0.375,0.781831169
Music,1640,,,0.26,0.304878049,0.346666667,0.406779661,0.410714286,0.5,0.533333333,0.558139535,0.571428571,0.6,0.58974359,0.648648649,0.694444444,0.65,0.510638298,0.533333333,0.5,0.444444444,0.503510714
Metal Gear Solid 2: Sons of Liberty,1570,Computer game,/m/02tpgj,0.01,0.012195122,0.013333333,0.016949153,0.017857143,0.020833333,0.022222222,0.023255814,0.023809524,0.025,0.025641026,0.027027027,0.027777778,0.025,0.021276596,0.022222222,0.02,0.018518519,0.020717712
Attack on Titan,1416,Video game,/g/11bw8dj9wl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallout 4,1262,Video game,/m/06zmzsz,1.028571429,1.155172414,1.735849057,2.317073171,2.5,2.411764706,2.5625,2.483870968,2.533333333,2.642857143,2.333333333,2.423076923,2.5,2.321428571,1.818181818,1.875,1.685714286,1.947368421,2.126394198
Halo 5: Guardians,1328,Video game,/m/010lsm5p,0.08,0.097560976,0.106666667,0.13559322,0.142857143,0.145833333,0.177777778,0.186046512,0.285714286,0.3,0.179487179,0.162162162,0.166666667,0.175,0.127659574,0.133333333,0.14,0.12962963,0.159554914
Diablo II: Lord of Destruction,1262,Video game,/m/04r29,0.01,0.012195122,0.013333333,0.016949153,0.017857143,0.020833333,0.022222222,0.023255814,0.023809524,0.025,0.025641026,0.027027027,0.027777778,0.025,0,0.022222222,0.02,0.018518519,0.019535679
FIFA 16,1213,Video game,/m/0139_ztp,0.56,0.646341463,0.76,0.966101695,1,1.145833333,1.311111111,1.255813953,1.333333333,1.45,1.384615385,1.324324324,1.277777778,1.05,0.85106383,0.844444444,0.78,0.777777778,1.039918802
The Elder Scrolls Online: Tamriel Unlimited,1207,Online game,/m/0jt2y_q,0.14,0.170731707,0.186666667,0.237288136,0.303571429,0.354166667,0.511111111,0.488372093,0.5,0.5,0.384615385,0.351351351,0.361111111,0.375,0.319148936,0.311111111,0.26,0.222222222,0.332025996
Paragon,1185,,,0.04,0.036585366,0.04,0.050847458,0.053571429,0.0625,0.066666667,0.069767442,0.071428571,0.1,0.102564103,0.108108108,0.111111111,0.075,0.063829787,0.111111111,0.1,0.074074074,0.074286957
Deus Ex: Mankind Divided,977,Video game,/m/0131_08_,0.01,0.012195122,0.013333333,0.016949153,0.017857143,0.041666667,0.044444444,0.023255814,0.023809524,0.025,0.025641026,0.054054054,0.055555556,0.075,0.085106383,0.288888889,1,0.537037037,0.130544119
DayZ,974,Video game,/m/0sghnxp,0.03,0.024390244,0.04,0.033898305,0.053571429,0.041666667,0.066666667,0.093023256,0.095238095,0.075,0.076923077,0.081081081,0.083333333,0.05,0.042553191,0.044444444,0.04,0.037037037,0.056045935
Black Desert,883,Online game,/m/0y66zll,0.06,0.073170732,0.08,0.06779661,0.071428571,0.083333333,0.088888889,0.093023256,0.095238095,0.1,0.076923077,0.081081081,0.083333333,0.1,0.063829787,0.066666667,0.06,0.055555556,0.077792722
The Walking Dead: Season Two,849,Video game,/m/0k8w_qv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of Zelda: Ocarina of Time,783,Video game,/m/0161qz,0.07,0.085365854,0.093333333,0.118644068,0.107142857,0.125,0.177777778,0.209302326,0.214285714,0.225,0.179487179,0.189189189,0.194444444,0.175,0.14893617,0.155555556,0.14,0.12962963,0.152116339
The King of Fighters XIV,799,Video game,/g/11b8_qs4pr,0.01,0.012195122,0.013333333,0.016949153,0.017857143,0.020833333,0.022222222,0.023255814,0.023809524,0.025,0.025641026,0.054054054,0.027777778,0.025,0.021276596,0.022222222,0.06,0.037037037,0.025470242
RimWorld,746,Video game,/m/012sdh12,0.01,0.012195122,0.013333333,0,0.017857143,0,0.022222222,0,0.023809524,0,0.025641026,0.081081081,0.083333333,0.075,0.063829787,0.044444444,0.04,0.037037037,0.030543558
Warcraft III: The Frozen Throne,702,Computer game,/m/02mj6l,0.02,0.024390244,0.026666667,0.033898305,0.053571429,0.0625,0.088888889,0.069767442,0.071428571,0.075,0.076923077,0.054054054,0.055555556,0.05,0.042553191,0.044444444,0.04,0.037037037,0.051482161
osu!,681,Video game,/m/03qctbh,0.01,0.024390244,0.026666667,0.016949153,0.017857143,0.020833333,0.022222222,0.023255814,0.023809524,0.025,0.025641026,0.027027027,0.027777778,0.025,0.021276596,0.022222222,0.02,0.018518519,0.022135959
The Elder Scrolls V: Skyrim,649,Video game,/m/04gmzj,0.767123288,0.9,1.072727273,1.372093023,1.487804878,1.885714286,3.03030303,2.4375,2.548387097,2.724137931,2.428571429,2.333333333,2.296296296,2.206896552,1.852941176,2,1.702702703,1.512820513,1.919964045
Garry's Mod,589,Video game,/m/057879,0.04,0.048780488,0.053333333,0.06779661,0.071428571,0.104166667,0.088888889,0.093023256,0.119047619,0.125,0.128205128,0.108108108,0.111111111,0.125,0.085106383,0.088888889,0.08,0.074074074,0.089553285
Monster Hunter Generations,567,Video game,/g/11bv5rtw6n,0,0,0,0,0,0,0,0,0,0,0.025641026,0.027027027,0.027777778,0.025,0,0,0,0,0.005858102
Super Metroid,536,Video game,/m/01zwc5,0.01,0.012195122,0.013333333,0.016949153,0.017857143,0.020833333,0.022222222,0.023255814,0.023809524,0.025,0.025641026,0.027027027,0.027777778,0.025,0.021276596,0.022222222,0.02,0.018518519,0.020717712
7 Days to Die,549,Video game,/m/0wxtk35,0.01,0.012195122,0.013333333,0.016949153,0.017857143,0.020833333,0.044444444,0.046511628,0.166666667,0.15,0.102564103,0.081081081,0.111111111,0.1,0.063829787,0.066666667,0.04,0.037037037,0.061171145
Mafia II,520,Video game,/m/02x90yw,0.03,0.037037037,0.040540541,0.052631579,0.090909091,0.1,0.111111111,0.095238095,0.095238095,0.1,0.102564103,0.105263158,0.108108108,0.1,0.086956522,0.088888889,0.083333333,0.074074074,0.083438541
EVE Online,357,Online game,/m/0243qz,0.12,0.12345679,0.121621622,0.140350877,0.145454545,0.16,0.177777778,0.166666667,0.19047619,0.2,0.205128205,0.210526316,0.189189189,0.175,0.130434783,0.177777778,0.166666667,0.203703704,0.166901728
Resident Evil 4,506,Video game,/m/04rvm4,0.07,0.086419753,0.094594595,0.122807018,0.145454545,0.14,0.2,0.214285714,0.214285714,0.25,0.230769231,0.210526316,0.243243243,0.225,0.173913043,0.177777778,0.1875,0.277777778,0.18135304
Dark Souls II,487,Video game,/m/0p8xwrr,0.18,0.197530864,0.216216216,0.263157895,0.236363636,0.22,0.266666667,0.285714286,0.285714286,0.3,0.256410256,0.236842105,0.243243243,0.225,0.173913043,0.155555556,0.145833333,0.12962963,0.223210612
Soulcalibur II HD Online,497,Video game,/m/037psh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.U.G.E.N,478,Video Game Engine,/m/05l9t3,0.05,0.049382716,0.067567568,0.087719298,0.090909091,0.1,0.133333333,0.119047619,0.119047619,0.125,0.128205128,0.131578947,0.135135135,0.1,0.108695652,0.111111111,0.104166667,0.074074074,0.101942998
Final Fantasy XIV: Heavensward,477,Online game,/g/11bxxz28t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Mario Galaxy,493,Video game,/m/0d1n09,0.02,0.012345679,0.027027027,0.035087719,0.036363636,0.02,0.044444444,0.023809524,0.047619048,0.05,0.025641026,0.052631579,0.054054054,0.025,0.043478261,0.044444444,0.020833333,0.018518519,0.033405461
World of Warships,480,Online game,/m/0h3qc73,0.02,0.024691358,0.013513514,0.035087719,0.018181818,0.04,0.022222222,0.023809524,0.023809524,0.025,0.025641026,0.026315789,0.027027027,0.025,0.02173913,0.022222222,0.041666667,0.018518519,0.025247003
Summoners War: Sky Arena,454,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warframe,438,Video game,/m/0kz2q04,0.07,0.086419753,0.108108108,0.122807018,0.127272727,0.16,0.177777778,0.19047619,0.19047619,0.225,0.205128205,0.184210526,0.216216216,0.2,0.152173913,0.155555556,0.166666667,0.12962963,0.159328804
The Binding of Isaac: Afterbirth,454,Video game,/m/0zwrr6f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diablo III: Reaper of Souls,433,Video game expansion,/m/0wxq06f,0.02,0.024691358,0.027027027,0.035087719,0.036363636,0.04,0.022222222,0.047619048,0.023809524,0.05,0.025641026,0.026315789,0.027027027,0.05,0.043478261,0.044444444,0.041666667,0.018518519,0.033550682
Dungeons & Dragons,412,Game,/m/026q9,0.23,0.296296296,0.337837838,0.421052632,0.454545455,0.52,0.555555556,0.619047619,0.619047619,0.65,0.641025641,0.684210526,0.756756757,0.725,0.586956522,0.666666667,0.625,0.574074074,0.553504067
Quiplash,402,Video game,/g/11c3pqzgmh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Clancy's The Division,405,Online game,/m/0vzv3tn,0.13,0.135802469,0.148648649,0.210526316,0.2,0.18,0.2,0.19047619,0.261904762,0.25,0.205128205,0.157894737,0.162162162,0.15,0.108695652,0.111111111,0.083333333,0.074074074,0.164430981
Lineage II: The Chaotic Chronicle,404,Online game,/m/04tdsp,0.07,0.074074074,0.081081081,0.105263158,0.109090909,0.12,0.133333333,0.142857143,0.142857143,0.175,0.179487179,0.157894737,0.162162162,0.125,0.130434783,0.111111111,0.104166667,0.111111111,0.124162477
Vampire: The Masquerade - Bloodlines,399,Video game,/m/03s01h,0.01,0.012345679,0.013513514,0.01754386,0.018181818,0.02,0.022222222,0.023809524,0.023809524,0.025,0.025641026,0.026315789,0.027027027,0.025,0.02173913,0.022222222,0.020833333,0.018518519,0.020762399
The Turing Test,409,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Mario 64,356,Video game,/m/0phl8,0.03,0.037037037,0.054054054,0.070175439,0.072727273,0.08,0.088888889,0.095238095,0.095238095,0.1,0.102564103,0.131578947,0.135135135,0.1,0.086956522,0.088888889,0.083333333,0.074074074,0.08477166
The Witcher 3: Wild Hunt,391,Video game,/m/0qsc46_,0.35106383,0.5,0.68115942,1,1.923076923,1.893617021,1.714285714,1.65,1.538461538,1.567567568,1.324324324,1.222222222,1.235294118,1.081081081,0.860465116,0.880952381,0.844444444,0.88,1.174889761
Bloodborne,381,Video game,/m/010xd7pf,0.05,0.049382716,0.054054054,0.070175439,0.072727273,0.08,0.088888889,0.071428571,0.071428571,0.075,0.076923077,0.078947368,0.081081081,0.075,0.065217391,0.066666667,0.0625,0.055555556,0.06916537
Star Citizen,367,Video game,/m/0n5v7g2,0.01,0.012345679,0.013513514,0.01754386,0.018181818,0.02,0.022222222,0.023809524,0.023809524,0.025,0.025641026,0.026315789,0.027027027,0.025,0.02173913,0.044444444,0.0625,0.037037037,0.025340589
Social Eating,350,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Man's Sky,363,Video game,/m/0zn020m,0.01,0.012345679,0.013513514,0.035087719,0.018181818,0.02,0.022222222,0.023809524,0.023809524,0.05,0.051282051,0.052631579,0.108108108,0.175,0.695652174,0.488888889,0.208333333,0.12962963,0.11880532
Blade and Soul,356,Online game,/m/04gmskf,0.02,0.024691358,0.027027027,0.052631579,0.036363636,0.04,0.044444444,0.071428571,0.047619048,0.05,0.051282051,0.052631579,0.027027027,0.05,0.02173913,0.044444444,0.041666667,0.037037037,0.041112978
I Wanna Be The Guy,361,Video game,/m/03mhmn9,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0.001234568
MapleStory,359,Online game,/m/04h2l3,0.11,0.148148148,0.162162162,0.192982456,0.218181818,0.24,0.266666667,0.380952381,0.428571429,0.5,0.41025641,0.421052632,0.432432432,0.375,0.282608696,0.266666667,0.25,0.222222222,0.294883562
Retro,309,,,0.06,0.074074074,0.081081081,0.122807018,0.109090909,0.12,0.133333333,0.142857143,0.142857143,0.15,0.179487179,0.184210526,0.189189189,0.175,0.152173913,0.155555556,0.125,0.111111111,0.133768232
Casino Games,331,,,0.03,0.037037037,0.040540541,0.052631579,0.054545455,0.04,0.066666667,0.047619048,0.071428571,0.075,0.051282051,0.078947368,0.081081081,0.075,0.065217391,0.066666667,0.0625,0.055555556,0.058428834
Mortal Kombat X,332,Video game,/m/010r5m26,0.15,0.197530864,0.216216216,0.280701754,0.290909091,0.3,0.355555556,0.357142857,0.333333333,0.4,0.358974359,0.394736842,0.405405405,0.35,0.282608696,0.266666667,0.270833333,0.240740741,0.302853095
Gears of War: Ultimate Edition,327,Video game,/m/0639f2,0.01,0.012345679,0.013513514,0.01754386,0.018181818,0.02,0.044444444,0.023809524,0.023809524,0.025,0.025641026,0.026315789,0.027027027,0.025,0.02173913,0.022222222,0.020833333,0.018518519,0.021996967
Pokémon Red/Blue,317,Video game,/m/025wj_,0.06,0.074074074,0.094594595,0.122807018,0.127272727,0.14,0.155555556,0.166666667,0.166666667,0.275,0.846153846,1.078947368,1.054054054,0.9,0.652173913,0.577777778,0.416666667,0.296296296,0.400261512
Orcs Must Die!,298,Video game,/m/0gjblh5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yu-Gi-Oh! Online,279,Online game,/g/121p7nj4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Mario World,279,Video game,/m/0kym_,0.05,0.061728395,0.067567568,0.087719298,0.090909091,0.1,0.088888889,0.095238095,0.119047619,0.15,0.153846154,0.157894737,0.135135135,0.125,0.108695652,0.111111111,0.104166667,0.092592593,0.105530056
The Talos Principle,260,Video game,/m/012fz1bx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Underground Man,279,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bionic Commando Rearmed 2,261,Video game,/m/0dd8cpz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometry Dash,275,Mobile game,/m/0114dt3x,0.03,0.037037037,0.040540541,0.052631579,0.054545455,0.06,0.066666667,0.071428571,0.047619048,0.075,0.051282051,0.078947368,0.081081081,0.05,0.043478261,0.044444444,0.041666667,0.037037037,0.053522545
Dragon Quest VIII: Journey of the Cursed King,265,Video game,/m/04_m9c,0.02,0.024691358,0.027027027,0.035087719,0.036363636,0.04,0.044444444,0.047619048,0.047619048,0.05,0.051282051,0.052631579,0.054054054,0.05,0.043478261,0.044444444,0.041666667,0.037037037,0.041524799
ROBLOX,249,Video game,/m/026bs1g,0.16,0.197530864,0.22972973,0.298245614,0.327272727,0.36,0.4,0.428571429,0.452380952,0.475,0.461538462,0.5,0.540540541,0.475,0.413043478,0.488888889,0.479166667,0.481481481,0.398243935
Tibia,238,Online game,/m/03vr13,0.01,0.012345679,0.013513514,0.01754386,0.018181818,0.02,0.022222222,0.023809524,0.023809524,0.025,0.051282051,0.026315789,0.027027027,0.025,0.02173913,0.022222222,0.020833333,0.018518519,0.022186901
Twitch Plays,263,,,0,0,0,0,0,0,0,0,0,0,0.025641026,0.026315789,0,0,0,0,0,0,0.00288649
Team Fortress 2,245,Video game,/m/060phy,0.25,0.296296296,0.310810811,0.438596491,0.454545455,0.48,0.533333333,0.571428571,0.571428571,0.875,0.769230769,0.657894737,0.675675676,0.55,0.47826087,0.488888889,0.458333333,0.388888889,0.513811816
Trove,244,Online game,/g/11b8061kml,0.01,0.012345679,0.013513514,0.01754386,0.018181818,0.02,0.022222222,0.023809524,0.023809524,0.025,0.025641026,0.026315789,0.027027027,0.025,0.02173913,0.022222222,0.020833333,0.018518519,0.020762399
WWE 2K16,233,Video game,/g/11byhl_p0l,0.02,0.024691358,0.027027027,0.035087719,0.054545455,0.04,0.044444444,0.071428571,0.071428571,0.075,0.051282051,0.052631579,0.081081081,0.075,0.043478261,0.111111111,0.0625,0.055555556,0.055349599
Final Fantasy VII,223,Video game,/m/0dvzv,0.08,0.098765432,0.108108108,0.122807018,0.127272727,0.16,0.2,0.166666667,0.19047619,0.2,0.205128205,0.184210526,0.189189189,0.15,0.152173913,0.177777778,0.145833333,0.148148148,0.155919846
Pokémon Go,225,Mobile game,/g/11bw4tm1l9,0,0,0,0,0,0,0,0,0,13.5,50,86,57,28,22,14.5,12,9,16.22222222
TrackMania² Stadium,218,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Paper Mario,257,Video game,/m/0d1rc2,0,0,0.013513514,0.01754386,0.018181818,0.02,0.022222222,0.023809524,0.023809524,0.025,0.025641026,0.026315789,0,0.025,0.02173913,0.022222222,0.020833333,0.018518519,0.018019471
